"strName","strCAS","Source","Type","numValue","strHyperlink","strDateAssessed","strReference","POD.type","numPOD","numBMD","BMR.Type","strCriticalEffect","numUF","numUFa","numUFh","numUFs","numUFl","numUFd","numUFother","Species","Strain","numBW","Route","Organ","Effect","tblEffect_strSex","DR.Type","strEffectPOD","intAnimalsControl","intAnimalsAffectedControl","numMeanResponseControl","numSDResponseControl","CV.Type","RfDEndpoint","UFEndpoint"
"1,1,1,2-Tetrachloroethane",630206,"IRIS","RfD (mg/kg/day)",0.03,"http://www.epa.gov/iris/subst/0265.htm","12/1/1996","NTP (National Toxicology Program). 1983. Carcinogenesis studies of 1,1,1,2- tetrachloroethane in F344/N rats and B6C3F1 mice (gavage studies). NTP-81-53; NIH Publ.

No. 83-1793; NTP Technical Report Series No. 237. NTIS, Springfield, VA.","LOAEL",89.3,NA,NA,"Mineralization of the kidneys in males, hepatic clear cell 

change in females",3000,10,10,1,10,3,NA,"Rat","Fischer 344",NA,"Oral gavage","liver","nonneoplastic histopathology","F","Dichotomous","hepatic clear cell change",48,0,NA,NA,"",0.09,1000
"1,1,1,2-Tetrachloroethane",630206,"IRIS","RfD (mg/kg/day)",0.03,"http://www.epa.gov/iris/subst/0265.htm","12/1/1996","NTP (National Toxicology Program). 1983. Carcinogenesis studies of 1,1,1,2- tetrachloroethane in F344/N rats and B6C3F1 mice (gavage studies). NTP-81-53; NIH Publ.

No. 83-1793; NTP Technical Report Series No. 237. NTIS, Springfield, VA.","LOAEL",89.3,NA,NA,"Mineralization of the kidneys in males, hepatic clear cell 

change in females",3000,10,10,1,10,3,NA,"Rat","Fischer 344",NA,"Oral gavage","kidneys","nonneoplastic histopathology","M","Dichotomous","mineralization of kidneys",48,12,NA,NA,"",0.09,1000
"1,1,1-Trichloroethane",71556,"IRIS","RfD (mg/kg/day)",2,"http://www.epa.gov/iris/subst/0197.htm","9/28/2007","NTP. (2000) NTP technical report on the toxicity studies of 1,1,1-trichloroethane (CAS no.71 556) administered in microcapsules in feed to F344/N rats and B6C3F1 mice. Public Health Service, U.S. Department of Health and Human Services; NTP Toxicity Report Series No. 41.

Available from the National Institute of Environmental Health Sciences, Research Triangle Park, NC, and the National Technical Information Service, Springfield, VA; PB2001 100476, and online at http://ntp.niehs.nih.gov/ntp/htdocs/ST_rpts/tox041.pdf.","BMDL",2155,5064.4,"10% RD","Reduced body weight (this critical effect and POD was also used to derive a subchronic RfD of 7 mg/kg/day).",1000,10,10,3,1,3,NA,"Mouse","B6C3F1",NA,"Oral - other","systemic","body weight","F","Continuous","Reduced body weight",10,NA,29.3,2.53,"SD",6,333.333333333333
"1,1,2,2-Tetrachloroethane",79345,"IRIS","RfD (mg/kg/day)",0.02,"http://www.epa.gov/iris/subst/0193.htm","9/30/2010","NTP. (National Toxicology Program). (2004) NTP technical report on the toxicity studies of 1,1,2,2‑tetrachloroethane administered in microcapsules in feed to F344/N rats and B6C3F1 mice.  U.S. DHHS, Public Health Service, National Institute of Health. Toxicity Report Series, Number 49.","BMDL",15,22,"1SD","Increased relative liver weight in rats (a subchronic oral RfD of 0.05 mg/kg/day was derived from the same POD)",1000,10,10,3,1,3,NA,"Rat","Fischer 344",NA,"Oral - other","liver","organ weight","F","Continuous","increased relative liver weight",10,NA,35.79,0.56,"SE",0.06,333.333333333333
"1,1,2-Trichloroethane",79005,"IRIS","RfD (mg/kg/day)",0.004,"http://www.epa.gov/iris/subst/0198.htm","2/1/1995","Sanders, V.M., K.L. White, Jr., G.M. Shopp, Jr. and A.E. Munson. 1985. Humoral and cell-mediated immune status of mice exposed to 1,1,2- trichloroethane. Drug Chem. Toxicol. 8(5): 357-372.

 

White, K.L., Jr., V.M. Sanders, V.W. Barnes, G.M. Shopp, Jr. and A.E. Munson. 1985. Toxicology of 1,1,2-trichloroethane in the mouse. Drug Chem. Toxicol. 8(5): 333-355.","NOAEL",3.9,NA,NA,"Clinical serum chemistry",1000,10,10,10,1,1,NA,"Mouse","",NA,"Oral drinking water","liver","clinical chemistry","F","Continuous","Clinical serum chemistry (SGPT)",24,NA,36.9,2.2,"SE",0.004,1000
"1,1,2-Trichloroethane",79005,"IRIS","RfD (mg/kg/day)",0.004,"http://www.epa.gov/iris/subst/0198.htm","2/1/1995","Sanders, V.M., K.L. White, Jr., G.M. Shopp, Jr. and A.E. Munson. 1985. Humoral and cell-mediated immune status of mice exposed to 1,1,2- trichloroethane. Drug Chem. Toxicol. 8(5): 357-372.

 

White, K.L., Jr., V.M. Sanders, V.W. Barnes, G.M. Shopp, Jr. and A.E. Munson. 1985. Toxicology of 1,1,2-trichloroethane in the mouse. Drug Chem. Toxicol. 8(5): 333-355.","NOAEL",3.9,NA,NA,"Clinical serum chemistry",1000,10,10,10,1,1,NA,"Mouse","",NA,"Oral drinking water","liver","clinical chemistry","M","Continuous","Clinical serum chemistry (SGPT)",24,NA,62.3,8.4,"SE",0.004,1000
"1,1,2-Trichloroethane",79005,"IRIS","RfD (mg/kg/day)",0.004,"http://www.epa.gov/iris/subst/0198.htm","2/1/1995","Sanders, V.M., K.L. White, Jr., G.M. Shopp, Jr. and A.E. Munson. 1985. Humoral and cell-mediated immune status of mice exposed to 1,1,2- trichloroethane. Drug Chem. Toxicol. 8(5): 357-372.

 

White, K.L., Jr., V.M. Sanders, V.W. Barnes, G.M. Shopp, Jr. and A.E. Munson. 1985. Toxicology of 1,1,2-trichloroethane in the mouse. Drug Chem. Toxicol. 8(5): 333-355.","NOAEL",3.9,NA,NA,"Clinical serum chemistry",1000,10,10,10,1,1,NA,"Mouse","",NA,"Oral drinking water","liver","clinical chemistry","F","Continuous","Clinical serum chemistry (SGOT)",24,NA,83,5,"SE",0.004,1000
"1,1,2-Trichloroethane",79005,"IRIS","RfD (mg/kg/day)",0.004,"http://www.epa.gov/iris/subst/0198.htm","2/1/1995","Sanders, V.M., K.L. White, Jr., G.M. Shopp, Jr. and A.E. Munson. 1985. Humoral and cell-mediated immune status of mice exposed to 1,1,2- trichloroethane. Drug Chem. Toxicol. 8(5): 357-372.

 

White, K.L., Jr., V.M. Sanders, V.W. Barnes, G.M. Shopp, Jr. and A.E. Munson. 1985. Toxicology of 1,1,2-trichloroethane in the mouse. Drug Chem. Toxicol. 8(5): 333-355.","NOAEL",3.9,NA,NA,"Clinical serum chemistry",1000,10,10,10,1,1,NA,"Mouse","",NA,"Oral drinking water","liver","clinical chemistry","M","Continuous","Clinical serum chemistry (SGOT)",24,NA,116.5,14,"SE",0.004,1000
"1,1,2-Trichloropropane",598776,"IRIS","RfD (mg/kg/day)",0.005,"http://www.epa.gov/iris/subst/0372.htm","9/26/1988","Villeneuve, D.C., I. Chu, V.E. Secours, M.G. Cotie, G.L. Plaa and V.E. Valli. 1985. Results of a 90-day toxicity study on 1,2,3- and 1,1,2-trichloropropane administered via the drinking water. Sci. Total Environ. 47: 421-426.","NOEL",15,NA,NA,"Mild lesions in liver, kidney, and thyroid",3000,10,10,10,1,3,NA,"Rat","Sprague-Dawley",NA,"Oral drinking water","kidneys","nonneoplastic histopathology","Both","Dichotomous","Mild lesions in kidney",NA,NA,NA,NA,"",0.015,1000
"1,1,2-Trichloropropane",598776,"IRIS","RfD (mg/kg/day)",0.005,"http://www.epa.gov/iris/subst/0372.htm","9/26/1988","Villeneuve, D.C., I. Chu, V.E. Secours, M.G. Cotie, G.L. Plaa and V.E. Valli. 1985. Results of a 90-day toxicity study on 1,2,3- and 1,1,2-trichloropropane administered via the drinking water. Sci. Total Environ. 47: 421-426.","NOEL",15,NA,NA,"Mild lesions in liver, kidney, and thyroid",3000,10,10,10,1,3,NA,"Rat","Sprague-Dawley",NA,"Oral drinking water","kidneys","nonneoplastic histopathology","Both","Dichotomous","Mild lesions in the kidney",NA,NA,NA,NA,"",0.015,1000
