ColumnName,Description
strName,Chemical name
strCAS,"CAS number, without dashes"
Source,"Source of toxicity value (e.g., IRIS, ATSDR, etc.)"
Type,"Type of toxicity value (e.g., RfD, MRL, etc.)"
numValue,Value of toxicity value in mg/kg-d
strHyperlink,Hyperlink to toxicity value source (accessed at time of data entry)
strDateAssessed,Date of toxicity value source
strReference,Reference for study from which point of departure (POD) is derived
POD.type,"Type of POD (e.g., NOAEL, BMDL, etc.)"
numPOD,Value of POD in mg/kg-d
numBMD,Value of benchmark dose (central tendency) in mg/kg-d (if POD is BMDL)
BMR.Type,"Benchmark response level (e.g., 1SD, 10% extra risk (ER)) (if POD is BMDL)"
strCriticalEffect,Description of critical effect
numUF,Composite Uncertainty Factor
numUFa,Uncertainty Factor for animal-to-human extrapolation (interspecies)
numUFh,Uncertainty Factor for human variability (intraspecies)
numUFs,Uncertainty Factor for subchronic-to-chronic extrapolation (duration)
numUFl,Uncertainty Factor for LOAEL-to-NOAEL extrapolation
numUFd,Uncertainty Factor for incomplete database
numUFother,Uncertainty Factor for other issues
Species,Species from which POD was derived
Strain,Strain from which POD was derived
numBW,Body weight of animals in study
Route,Route of exposure
Organ,Target organ of toxicity
Effect,Category of effect in the target organ of toxicity
tblEffect_strSex,Sex of animals affected
DR.Type,"Type of dose-response data (e.g., continous, dichotomous)"
strEffectPOD,Details (if available) of effect
intAnimalsControl,Number of control animals
intAnimalsAffectedControl,Number of control animals affected (dichotomous endpoints)
numMeanResponseControl,Reported mean response in control animals (continuous endpoints)
numSDResponseControl,Reported measure of variance in response in control animals (continuous endpoints)
CV.Type,"Type of variance measure reported (e.g., SD, SE) (continuous endpoints)"
