"strName","strCAS","Source","Type","numValue","strHyperlink","strDateAssessed","strReference","POD.type","numPOD","numBMD","BMR.Type","strCriticalEffect","numUF","numUFa","numUFh","numUFs","numUFl","numUFd","numUFother","Species","Strain","numBW","Route","Organ","Effect","tblEffect_strSex","DR.Type","strEffectPOD","intAnimalsControl","intAnimalsAffectedControl","numMeanResponseControl","numSDResponseControl","CV.Type","RfDEndpoint","UFEndpoint","row.orig","Conceptual.Model","Effect.Magnitude","PrAF.BMDL.p50","PrAF.BMDL.p95p50","PrAF.LOAEL.p50","PrAF.LOAEL.p95p50","PrAF.NOAEL.p50","PrAF.NOAEL.p95p50","PrAF.Subchronic.p50","PrAF.Subchronic.p95p50","PrAF.BW.p50","PrAF.BW.p95p50","PrAF.TKTD.p50","PrAF.TKTD.p95p50","Human.log10gsdh.approx","Human.log10gsdu.approx","Human.log10gsdh.p50","Human.log10gsdh.p95p50","Human.approx.incidence.target","PrAF.Human.approx.p50","PrAF.Human.approx.p95p50","HDM50.approx.p50","HDM50.approx.p95p50","HDMI.approx.p50","HDMI.approx.p95p50","PrRfD.approx","PrRfDText","zRfD","I95.approx.RfD","I50.approx.RfD","I05.approx.RfD","I95.approx.HQ3","I50.approx.HQ3","I05.approx.HQ3","I95.approx.HQ10","I50.approx.HQ10","I05.approx.HQ10","I95.approx.HQ0.1","I50.approx.HQ0.1","I05.approx.HQ0.1","I95.approx.HQ0.3","I50.approx.HQ0.3","I05.approx.HQ0.3","PrAF.BMDL.Var","PrAF.LOAEL.Var","PrAF.NOAEL.Var","PrAF.Subchronic.Var","PrAF.BW.Var","PrAF.TKTD.Var","PrAF.Human.approx.Var","PrAF.BMDL.pct","PrAF.LOAEL.pct","PrAF.NOAEL.pct","PrAF.Subchronic.pct","PrAF.BW.pct","PrAF.TKTD.pct","PrAF.Human.approx.pct","HDMI.mc.p50","HDMI.mc.p05","HDMI.mc.p95"
"1,1,1,2-Tetrachloroethane",630206,"IRIS","RfD (mg/kg/day)",0.03,"http://www.epa.gov/iris/subst/0265.htm","12/1/1996","NTP (National Toxicology Program). 1983. Carcinogenesis studies of 1,1,1,2- tetrachloroethane in F344/N rats and B6C3F1 mice (gavage studies). NTP-81-53; NIH Publ.

No. 83-1793; NTP Technical Report Series No. 237. NTIS, Springfield, VA.","LOAEL",89.3,NA,NA,"Mineralization of the kidneys in males, hepatic clear cell 

change in females",3000,10,10,1,10,3,NA,"Rat","Fischer 344",NA,"Oral gavage","liver","nonneoplastic histopathology","F","Dichotomous","hepatic clear cell change",48,0,NA,NA,"",0.09,1000,1,"Quantal-Deterministic","ED50",1,1,10,3,0.222222222222222,5,1,1,4.87943105616227,1.23532877615645,1,3,0.4239,0.16621,0.323957566318277,2.15241498835851,0.01,9.68587508473058,4.32516673243793,8.23559130920604,9.45898420111472,0.850268172690885,14.6152286473503,0.0581768642288766,"Probabilistic RfD of 0.0582 mg/kg-d = estimate, based on the study data, of the dose at which, with 95% confidence, at most 1% of the population will have 'hepatic clear cell change (liver effect: nonneoplastic histopathology)'.",-1.37726654652652,0.0232326390513432,1.85358513289623e-06,0,0.137005693625795,0.000231215702260065,0,0.513612500710332,0.0116612194053766,3.05365213103011e-15,0.000116688196461486,1.41205964103664e-12,0,0.00188900853695059,2.30524548857154e-09,0,0,1.20694896081258,2.59029039398023,0,0.0446633910386682,1.20694896081258,2.14461582488682,0,0.167784028428877,0.360089259126604,0,0.00620888199507354,0.167784028428877,0.298133802020569,1.26676203276308,0.0711821883414915,16.2223885084496
"1,1,1,2-Tetrachloroethane",630206,"IRIS","RfD (mg/kg/day)",0.03,"http://www.epa.gov/iris/subst/0265.htm","12/1/1996","NTP (National Toxicology Program). 1983. Carcinogenesis studies of 1,1,1,2- tetrachloroethane in F344/N rats and B6C3F1 mice (gavage studies). NTP-81-53; NIH Publ.

No. 83-1793; NTP Technical Report Series No. 237. NTIS, Springfield, VA.","LOAEL",89.3,NA,NA,"Mineralization of the kidneys in males, hepatic clear cell 

change in females",3000,10,10,1,10,3,NA,"Rat","Fischer 344",NA,"Oral gavage","kidneys","nonneoplastic histopathology","M","Dichotomous","mineralization of kidneys",48,12,NA,NA,"",0.09,1000,2,"Quantal-Deterministic","ED50",1,1,10,3,0.222222222222222,5,1,1,4.87943105616227,1.23532877615645,1,3,0.4239,0.16621,0.323957566318277,2.15241498835851,0.01,9.68587508473058,4.32516673243793,8.23559130920604,9.45898420111472,0.850268172690885,14.6152286473503,0.0581768642288766,"Probabilistic RfD of 0.0582 mg/kg-d = estimate, based on the study data, of the dose at which, with 95% confidence, at most 1% of the population will have 'mineralization of kidneys (kidneys effect: nonneoplastic histopathology)'.",-1.37726654652652,0.0232326390513432,1.85358513289623e-06,0,0.137005693625795,0.000231215702260065,0,0.513612500710332,0.0116612194053766,3.05365213103011e-15,0.000116688196461486,1.41205964103664e-12,0,0.00188900853695059,2.30524548857154e-09,0,0,1.20694896081258,2.59029039398023,0,0.0446633910386682,1.20694896081258,2.14461582488682,0,0.167784028428877,0.360089259126604,0,0.00620888199507354,0.167784028428877,0.298133802020569,1.26676203276308,0.0711821883414915,16.2223885084496
"1,1,1-Trichloroethane",71556,"IRIS","RfD (mg/kg/day)",2,"http://www.epa.gov/iris/subst/0197.htm","9/28/2007","NTP. (2000) NTP technical report on the toxicity studies of 1,1,1-trichloroethane (CAS no.71 556) administered in microcapsules in feed to F344/N rats and B6C3F1 mice. Public Health Service, U.S. Department of Health and Human Services; NTP Toxicity Report Series No. 41.

Available from the National Institute of Environmental Health Sciences, Research Triangle Park, NC, and the National Technical Information Service, Springfield, VA; PB2001 100476, and online at http://ntp.niehs.nih.gov/ntp/htdocs/ST_rpts/tox041.pdf.","BMDL",2155,5064.4,"10% RD","Reduced body weight (this critical effect and POD was also used to derive a subchronic RfD of 7 mg/kg/day).",1000,10,10,3,1,3,NA,"Mouse","B6C3F1",NA,"Oral - other","systemic","body weight","F","Continuous","Reduced body weight",10,NA,29.3,2.53,"SD",6,333.333333333333,3,"Continuous","10% RD",0.425519311270832,2.35006960556845,1,1,1,1,2,4,9.23577592339137,1.34502322961965,1,3,0.4239,0.16621,0.323957566318277,2.15241498835851,0.01,9.68587508473058,4.32516673243793,274.172957529937,7.29091837819062,28.3064725831702,11.7995155968215,2.39895208840566,"Probabilistic RfD of 2.4 mg/kg-d = estimate, based on the study data, of the dose at which, with 95% confidence, at most 1% of the population will have 'Reduced body weight (systemic effect: body weight)' of magnitude 10% RD or greater.",-1.0338946504194,0.0519665720665656,4.5067463018812e-05,0,0.240496315599327,0.00263405235474026,0,0.693072603301427,0.0597781715698721,2.68718092822064e-09,0.000449484620702234,1.75079488126754e-10,0,0.00558198513141853,1.30787550100155e-07,0,0.73007616763882,0,0,1.92181205567281,0.0878596492809501,1.20694896081258,2.14461582488682,0.119855310110372,0,0,0.315500478054871,0.014423762858626,0.198142671131745,0.352077777844386,42.5877052699478,2.88894270566418,429.13149889273
"1,1,2,2-Tetrachloroethane",79345,"IRIS","RfD (mg/kg/day)",0.02,"http://www.epa.gov/iris/subst/0193.htm","9/30/2010","NTP. (National Toxicology Program). (2004) NTP technical report on the toxicity studies of 1,1,2,2‑tetrachloroethane administered in microcapsules in feed to F344/N rats and B6C3F1 mice.  U.S. DHHS, Public Health Service, National Institute of Health. Toxicity Report Series, Number 49.","BMDL",15,22,"1SD","Increased relative liver weight in rats (a subchronic oral RfD of 0.05 mg/kg/day was derived from the same POD)",1000,10,10,3,1,3,NA,"Rat","Fischer 344",NA,"Oral - other","liver","organ weight","F","Continuous","increased relative liver weight",10,NA,35.79,0.56,"SE",0.06,333.333333333333,4,"Continuous","5% RD",0.681818181818182,1.46666666666667,1,1,1,1,2,4,4.87943105616227,1.23532877615645,1,3,0.4239,0.16621,0.323957566318277,2.15241498835851,0.01,9.68587508473058,4.32516673243793,2.25436118953008,6.18493321120521,0.232747291267879,10.35712577018,0.0224721893344195,"Probabilistic RfD of 0.0225 mg/kg-d = estimate, based on the study data, of the dose at which, with 95% confidence, at most 1% of the population will have 'increased relative liver weight (liver effect: organ weight)' of magnitude 5% RD or greater.",-0.953844370643105,0.0563234677638474,0.000101523124440716,0,0.250456619559514,0.00480372941105866,0,0.706530953480586,0.0875254382166537,1.06739755166489e-07,0.000553658598844733,6.22822208143277e-10,0,0.00643536075656979,3.73566518878997e-07,0,0.146683065288205,0,0,1.92181205567281,0.0446633910386682,1.20694896081258,2.14461582488682,0.0268418101516623,0,0,0.351676004617102,0.00817303797567824,0.220861861628157,0.392447285627401,0.352610499030169,0.026742451253096,3.06114360599671
"1,1,2-Trichloroethane",79005,"IRIS","RfD (mg/kg/day)",0.004,"http://www.epa.gov/iris/subst/0198.htm","2/1/1995","Sanders, V.M., K.L. White, Jr., G.M. Shopp, Jr. and A.E. Munson. 1985. Humoral and cell-mediated immune status of mice exposed to 1,1,2- trichloroethane. Drug Chem. Toxicol. 8(5): 357-372.

 

White, K.L., Jr., V.M. Sanders, V.W. Barnes, G.M. Shopp, Jr. and A.E. Munson. 1985. Toxicology of 1,1,2-trichloroethane in the mouse. Drug Chem. Toxicol. 8(5): 333-355.","NOAEL",3.9,NA,NA,"Clinical serum chemistry",1000,10,10,10,1,1,NA,"Mouse","",NA,"Oral drinking water","liver","clinical chemistry","F","Continuous","Clinical serum chemistry (SGPT)",24,NA,36.9,2.2,"SE",0.004,1000,5,"Continuous","5% RD",1,1,1,1,0.333333333333333,4.7,2,4,9.23577592339137,1.34502322961965,1,3,0.4239,0.16621,0.323957566318277,2.15241498835851,0.01,9.68587508473058,4.32516673243793,0.633406445600716,10.6853681350646,0.0653948600472101,16.1997050571683,0.00403679325126189,"Probabilistic RfD of 0.00404 mg/kg-d = estimate, based on the study data, of the dose at which, with 95% confidence, at most 1% of the population will have 'Clinical serum chemistry (SGPT) (liver effect: clinical chemistry)' of magnitude 5% RD or greater.",-1.65026143842978,0.00981490444102295,1.05705635345866e-07,0,0.07211539642813,2.41745603356773e-05,0,0.348266346328627,0.00232767284261836,0,3.11192352327214e-05,2.20398750360154e-14,0,0.000627983848936234,6.70235533023219e-11,0,0,0,2.3949497183834,1.92181205567281,0.0878596492809501,1.20694896081258,2.14461582488682,0,0,0.308779296143393,0.247777967660671,0.0113276869473024,0.155611137778821,0.276503911469812,0.0970541269775684,0.00496997711053158,1.39136622366841
"1,1,2-Trichloroethane",79005,"IRIS","RfD (mg/kg/day)",0.004,"http://www.epa.gov/iris/subst/0198.htm","2/1/1995","Sanders, V.M., K.L. White, Jr., G.M. Shopp, Jr. and A.E. Munson. 1985. Humoral and cell-mediated immune status of mice exposed to 1,1,2- trichloroethane. Drug Chem. Toxicol. 8(5): 357-372.

 

White, K.L., Jr., V.M. Sanders, V.W. Barnes, G.M. Shopp, Jr. and A.E. Munson. 1985. Toxicology of 1,1,2-trichloroethane in the mouse. Drug Chem. Toxicol. 8(5): 333-355.","NOAEL",3.9,NA,NA,"Clinical serum chemistry",1000,10,10,10,1,1,NA,"Mouse","",NA,"Oral drinking water","liver","clinical chemistry","M","Continuous","Clinical serum chemistry (SGPT)",24,NA,62.3,8.4,"SE",0.004,1000,6,"Continuous","5% RD",1,1,1,1,0.333333333333333,4.7,2,4,9.23577592339137,1.34502322961965,1,3,0.4239,0.16621,0.323957566318277,2.15241498835851,0.01,9.68587508473058,4.32516673243793,0.633406445600716,10.6853681350646,0.0653948600472101,16.1997050571683,0.00403679325126189,"Probabilistic RfD of 0.00404 mg/kg-d = estimate, based on the study data, of the dose at which, with 95% confidence, at most 1% of the population will have 'Clinical serum chemistry (SGPT) (liver effect: clinical chemistry)' of magnitude 5% RD or greater.",-1.65026143842978,0.00981490444102295,1.05705635345866e-07,0,0.07211539642813,2.41745603356773e-05,0,0.348266346328627,0.00232767284261836,0,3.11192352327214e-05,2.20398750360154e-14,0,0.000627983848936234,6.70235533023219e-11,0,0,0,2.3949497183834,1.92181205567281,0.0878596492809501,1.20694896081258,2.14461582488682,0,0,0.308779296143393,0.247777967660671,0.0113276869473024,0.155611137778821,0.276503911469812,0.0970541269775684,0.00496997711053158,1.39136622366841
"1,1,2-Trichloroethane",79005,"IRIS","RfD (mg/kg/day)",0.004,"http://www.epa.gov/iris/subst/0198.htm","2/1/1995","Sanders, V.M., K.L. White, Jr., G.M. Shopp, Jr. and A.E. Munson. 1985. Humoral and cell-mediated immune status of mice exposed to 1,1,2- trichloroethane. Drug Chem. Toxicol. 8(5): 357-372.

 

White, K.L., Jr., V.M. Sanders, V.W. Barnes, G.M. Shopp, Jr. and A.E. Munson. 1985. Toxicology of 1,1,2-trichloroethane in the mouse. Drug Chem. Toxicol. 8(5): 333-355.","NOAEL",3.9,NA,NA,"Clinical serum chemistry",1000,10,10,10,1,1,NA,"Mouse","",NA,"Oral drinking water","liver","clinical chemistry","F","Continuous","Clinical serum chemistry (SGOT)",24,NA,83,5,"SE",0.004,1000,7,"Continuous","5% RD",1,1,1,1,0.333333333333333,4.7,2,4,9.23577592339137,1.34502322961965,1,3,0.4239,0.16621,0.323957566318277,2.15241498835851,0.01,9.68587508473058,4.32516673243793,0.633406445600716,10.6853681350646,0.0653948600472101,16.1997050571683,0.00403679325126189,"Probabilistic RfD of 0.00404 mg/kg-d = estimate, based on the study data, of the dose at which, with 95% confidence, at most 1% of the population will have 'Clinical serum chemistry (SGOT) (liver effect: clinical chemistry)' of magnitude 5% RD or greater.",-1.65026143842978,0.00981490444102295,1.05705635345866e-07,0,0.07211539642813,2.41745603356773e-05,0,0.348266346328627,0.00232767284261836,0,3.11192352327214e-05,2.20398750360154e-14,0,0.000627983848936234,6.70235533023219e-11,0,0,0,2.3949497183834,1.92181205567281,0.0878596492809501,1.20694896081258,2.14461582488682,0,0,0.308779296143393,0.247777967660671,0.0113276869473024,0.155611137778821,0.276503911469812,0.0970541269775684,0.00496997711053158,1.39136622366841
"1,1,2-Trichloroethane",79005,"IRIS","RfD (mg/kg/day)",0.004,"http://www.epa.gov/iris/subst/0198.htm","2/1/1995","Sanders, V.M., K.L. White, Jr., G.M. Shopp, Jr. and A.E. Munson. 1985. Humoral and cell-mediated immune status of mice exposed to 1,1,2- trichloroethane. Drug Chem. Toxicol. 8(5): 357-372.

 

White, K.L., Jr., V.M. Sanders, V.W. Barnes, G.M. Shopp, Jr. and A.E. Munson. 1985. Toxicology of 1,1,2-trichloroethane in the mouse. Drug Chem. Toxicol. 8(5): 333-355.","NOAEL",3.9,NA,NA,"Clinical serum chemistry",1000,10,10,10,1,1,NA,"Mouse","",NA,"Oral drinking water","liver","clinical chemistry","M","Continuous","Clinical serum chemistry (SGOT)",24,NA,116.5,14,"SE",0.004,1000,8,"Continuous","5% RD",1,1,1,1,0.333333333333333,4.7,2,4,9.23577592339137,1.34502322961965,1,3,0.4239,0.16621,0.323957566318277,2.15241498835851,0.01,9.68587508473058,4.32516673243793,0.633406445600716,10.6853681350646,0.0653948600472101,16.1997050571683,0.00403679325126189,"Probabilistic RfD of 0.00404 mg/kg-d = estimate, based on the study data, of the dose at which, with 95% confidence, at most 1% of the population will have 'Clinical serum chemistry (SGOT) (liver effect: clinical chemistry)' of magnitude 5% RD or greater.",-1.65026143842978,0.00981490444102295,1.05705635345866e-07,0,0.07211539642813,2.41745603356773e-05,0,0.348266346328627,0.00232767284261836,0,3.11192352327214e-05,2.20398750360154e-14,0,0.000627983848936234,6.70235533023219e-11,0,0,0,2.3949497183834,1.92181205567281,0.0878596492809501,1.20694896081258,2.14461582488682,0,0,0.308779296143393,0.247777967660671,0.0113276869473024,0.155611137778821,0.276503911469812,0.0970541269775684,0.00496997711053158,1.39136622366841
"1,1,2-Trichloropropane",598776,"IRIS","RfD (mg/kg/day)",0.005,"http://www.epa.gov/iris/subst/0372.htm","9/26/1988","Villeneuve, D.C., I. Chu, V.E. Secours, M.G. Cotie, G.L. Plaa and V.E. Valli. 1985. Results of a 90-day toxicity study on 1,2,3- and 1,1,2-trichloropropane administered via the drinking water. Sci. Total Environ. 47: 421-426.","NOEL",15,NA,NA,"Mild lesions in liver, kidney, and thyroid",3000,10,10,10,1,3,NA,"Rat","Sprague-Dawley",NA,"Oral drinking water","kidneys","nonneoplastic histopathology","Both","Dichotomous","Mild lesions in kidney",NA,NA,NA,NA,"",0.015,1000,9,"Quantal-Deterministic","ED50",1,1,1,1,0.222222222222222,5,2,4,4.87943105616227,1.23532877615645,1,3,0.4239,0.16621,0.323957566318277,2.15241498835851,0.01,9.68587508473058,4.32516673243793,6.91679001333094,11.0317093299194,0.714111007299175,16.646091197679,0.0428996212275195,"Probabilistic RfD of 0.0429 mg/kg-d = estimate, based on the study data, of the dose at which, with 95% confidence, at most 1% of the population will have 'Mild lesions in kidney (kidneys effect: nonneoplastic histopathology)'.",-2.25947859740241,0.000934833996253348,1.64920497150566e-10,0,0.0110212385001788,1.24460478224066e-07,0,0.0931134023519699,4.33622822941174e-05,0,1.14315354728298e-06,0,0,3.62342880121052e-05,2.79217438937097e-14,0,0,0,2.59029039398023,1.92181205567281,0.0446633910386682,1.20694896081258,2.14461582488682,0,0,0.327539466462885,0.243011091273735,0.00564763831315053,0.152617412932236,0.271184391017994,1.05880469491037,0.0529186710788715,15.6337455956199
"1,1,2-Trichloropropane",598776,"IRIS","RfD (mg/kg/day)",0.005,"http://www.epa.gov/iris/subst/0372.htm","9/26/1988","Villeneuve, D.C., I. Chu, V.E. Secours, M.G. Cotie, G.L. Plaa and V.E. Valli. 1985. Results of a 90-day toxicity study on 1,2,3- and 1,1,2-trichloropropane administered via the drinking water. Sci. Total Environ. 47: 421-426.","NOEL",15,NA,NA,"Mild lesions in liver, kidney, and thyroid",3000,10,10,10,1,3,NA,"Rat","Sprague-Dawley",NA,"Oral drinking water","kidneys","nonneoplastic histopathology","Both","Dichotomous","Mild lesions in the kidney",NA,NA,NA,NA,"",0.015,1000,10,"Quantal-Deterministic","ED50",1,1,1,1,0.222222222222222,5,2,4,4.87943105616227,1.23532877615645,1,3,0.4239,0.16621,0.323957566318277,2.15241498835851,0.01,9.68587508473058,4.32516673243793,6.91679001333094,11.0317093299194,0.714111007299175,16.646091197679,0.0428996212275195,"Probabilistic RfD of 0.0429 mg/kg-d = estimate, based on the study data, of the dose at which, with 95% confidence, at most 1% of the population will have 'Mild lesions in the kidney (kidneys effect: nonneoplastic histopathology)'.",-2.25947859740241,0.000934833996253348,1.64920497150566e-10,0,0.0110212385001788,1.24460478224066e-07,0,0.0931134023519699,4.33622822941174e-05,0,1.14315354728298e-06,0,0,3.62342880121052e-05,2.79217438937097e-14,0,0,0,2.59029039398023,1.92181205567281,0.0446633910386682,1.20694896081258,2.14461582488682,0,0,0.327539466462885,0.243011091273735,0.00564763831315053,0.152617412932236,0.271184391017994,1.05880469491037,0.0529186710788715,15.6337455956199
